Produto,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Compostos,-,45.000,1.358.300,1.628.000,-,-,-,-,75.000,-,-,-,-,-,-,-,-,-,2.000,1.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.600,-,-,-,-,-,-,-,-,-,-,-
Jeropiga,-,-,-,-,-,-,107.500,12.500,60.000,20.000,-,-,-,-,-,234.500,173.000,122.000,61.000,42.000,-,-,60.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69.000,-,-,-,-,-,-,-,-,-,2.000,3.540,5.000,4.500
Filtrado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88.000,39.000,11.000,18.000,11.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Frisante,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,831.000,1.003.800,778.500,1.009.000,26.069,-,-,-,-,-,-,1.390,-,-
Vinho leve,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,249.000,264.000,192.800,144.500,-,-,-,-,-,-,-,-,-,-,11.000,6.000,16.500,-,-,-,-,-,-,-,-,-,-,-,-,8.000,-,-,-,-,-
Vinho licoroso,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.800,125.700,28.500,27.926,65.650,-,15.000,-,-,100,36.000,56.000,24.200,110.820,124.303,99.485,48.678,30.000,67.000,73.600
Brandy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.000,-,-,5.216,6.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120,-,450
Destilado,830.030,-,-,-,-,-,-,-,-,-,-,-,-,-,-,342.650,222.230,472.576,287.220,176.800,-,-,-,-,-,-,-,-,-,7.350,1.960,-,-,-,1.000,-,-,-,-,-,-,-,-,-,-,-,-,-,680,-,-,-,-,-
Bagaceira,961.290,913.200,755.350,661.270,424.620,576.098,705.912,828.000,698.200,938.090,-,-,-,-,-,299.500,156.100,325.600,29.000,52.000,55.000,15.000,10.000,-,-,-,-,-,-,-,12.700,10.350,-,26.800,66.082,32.050,24.250,48.500,8.500,6.500,-,-,-,-,-,1.350,1.000,900,2.100,10.495,-,12.060,4.998,-
Licor de bagaceira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.507,5.800,-,-,-
